id,midterm
21022073,90
22012062,75
22022027,80
23022049,55
21022081,55
22022005,40
21022602,80
20022080,50
16022040,45
2102D009,100
21022062,45
19022084,60
18022028,55
19022015,30
18022047,50
21022041,70
22022076,25
20022071,80
20022006,80
19022017,80
21022048,60
17022058,55
2202D003,80
21022052,35
18022056,45
21022049,50
20022035,75
19022016,85
17022043,35
19022058,65
19022049,70
19022801,45
23022017,35
20022067,55
20022074,50
22022003,55
20022084,60
23022025,60
18022067,35
21022069,95
20022017,60
21022051,65
22022002,65
21025013,60
17022012,60
20022070,80
21025066,40
19022605,55
21025065,60
22025018,35
22025039,75
21025038,55
22022059,40
21025050,75
17022014,40
21025052,80
21022066,65
20022022,50
19012121,60
22025080,55
20022605,65
2202D011,75
22025050,75
21025004,70
21025053,60
22025043,85
2102D004,85
23025023,70
23025605,60
23025614,25
